year,quarter,geo_type,geo_name,geo_pname,hover_over,reg_users,app_opens
2020,2,STA,mizoram,india,CON,55574,739308
2020,2,STA,chhattisgarh,india,CON,3401658,68493384
2020,2,STA,jammu & kashmir,india,CON,845294,9856653
2020,2,STA,goa,india,CON,430639,5310126
2020,2,STA,arunachal pradesh,india,CON,177534,3387006
2020,2,STA,delhi,india,CON,8391139,142852253
2020,2,STA,uttarakhand,india,CON,2148567,31074793
2020,3,STA,puducherry,india,CON,285173,4222159
2020,3,STA,tamil nadu,india,CON,13643451,194683284
2020,3,STA,uttar pradesh,india,CON,24838116,450784508
2020,3,STA,madhya pradesh,india,CON,12564224,324850994
2020,3,STA,andhra pradesh,india,CON,15692405,696300382
2020,3,STA,tripura,india,CON,376731,5777908
2020,3,STA,lakshadweep,india,CON,3644,32128
2020,3,STA,manipur,india,CON,258563,3552375
2020,3,STA,maharashtra,india,CON,31409513,668197101
2020,3,STA,dadra & nagar haveli & daman & diu,india,CON,267946,4421499
2020,3,STA,meghalaya,india,CON,157741,2384534
2020,3,STA,andaman & nicobar islands,india,CON,41335,515565
2020,3,STA,haryana,india,CON,8398816,188614769
2020,3,STA,rajasthan,india,CON,14969412,436682870
2020,3,STA,ladakh,india,CON,58401,1015680
2020,3,STA,punjab,india,CON,4694233,58946732
2020,3,STA,assam,india,CON,2830011,41875278
2020,3,STA,jharkhand,india,CON,4480027,99318784
2020,3,STA,odisha,india,CON,7901755,205597666
2020,3,STA,bihar,india,CON,11763213,266652644
2020,3,STA,kerala,india,CON,5582300,64309022
2020,3,STA,karnataka,india,CON,20487550,693683212
2020,3,STA,chandigarh,india,CON,362588,4888739
2020,3,STA,telangana,india,CON,14590882,527781925
2020,3,STA,himachal pradesh,india,CON,1378634,18411750
2020,3,STA,west bengal,india,CON,14448366,246554831
2020,3,STA,gujarat,india,CON,12467847,184402472
2020,3,STA,sikkim,india,CON,134773,2156470
2020,3,STA,nagaland,india,CON,173106,2868642
2020,3,STA,mizoram,india,CON,68315,924865
2020,3,STA,chhattisgarh,india,CON,3799386,86918606
2020,3,STA,jammu & kashmir,india,CON,949819,11443454
2020,3,STA,goa,india,CON,474962,6129766
2020,3,STA,arunachal pradesh,india,CON,206046,4003421
2020,3,STA,delhi,india,CON,9044174,190025029
2020,3,STA,uttarakhand,india,CON,2365438,40377348
2020,4,STA,puducherry,india,CON,319626,6377136
2020,4,STA,tamil nadu,india,CON,15357586,288233552
2020,4,STA,uttar pradesh,india,CON,27249134,552220798
2020,4,STA,madhya pradesh,india,CON,13737947,405571446
2020,4,STA,andhra pradesh,india,CON,17076565,869078538
2020,4,STA,tripura,india,CON,409110,6017249
2020,4,STA,lakshadweep,india,CON,4179,41144
2020,4,STA,manipur,india,CON,288772,3783432
2020,4,STA,maharashtra,india,CON,34432631,952006770
2020,4,STA,dadra & nagar haveli & daman & diu,india,CON,296493,6196436
2020,4,STA,meghalaya,india,CON,176447,2745917
2020,4,STA,andaman & nicobar islands,india,CON,52396,887208
2020,4,STA,haryana,india,CON,9129873,236101307
2020,4,STA,rajasthan,india,CON,16329494,511015109
2020,4,STA,ladakh,india,CON,64853,1232757
2020,4,STA,punjab,india,CON,5157868,71191183
2020,4,STA,assam,india,CON,3106153,49321814
2020,4,STA,jharkhand,india,CON,4917938,126310835
2020,4,STA,odisha,india,CON,8598751,270085293
2020,4,STA,bihar,india,CON,12889833,317056600
2020,4,STA,kerala,india,CON,6387169,91415273
2020,4,STA,karnataka,india,CON,22400182,935510690
2020,4,STA,chandigarh,india,CON,391402,6477974
2020,4,STA,telangana,india,CON,15927797,764614235
2020,4,STA,himachal pradesh,india,CON,1508766,22001148
2020,4,STA,west bengal,india,CON,15662093,291721919
2020,4,STA,gujarat,india,CON,13605203,230497353
2020,4,STA,sikkim,india,CON,148543,2478670
2020,4,STA,nagaland,india,CON,192188,2922121
2020,4,STA,mizoram,india,CON,78731,1096182
2020,4,STA,chhattisgarh,india,CON,4190601,109900467
2020,4,STA,jammu & kashmir,india,CON,1079022,16018751
2020,4,STA,goa,india,CON,527584,10991118
2020,4,STA,arunachal pradesh,india,CON,231292,4472667
2020,4,STA,delhi,india,CON,9747968,243433752
2020,4,STA,uttarakhand,india,CON,2596244,52564888
2021,1,STA,puducherry,india,CON,346279,7914507
2021,1,STA,tamil nadu,india,CON,16632608,348801714
2021,1,STA,uttar pradesh,india,CON,29482075,639718324
2021,1,STA,madhya pradesh,india,CON,14839427,482500276
2021,1,STA,andhra pradesh,india,CON,18363733,957709447
2021,1,STA,tripura,india,CON,439636,6009660
2021,1,STA,lakshadweep,india,CON,4577,47283
2021,1,STA,manipur,india,CON,312668,3709227
2021,1,STA,maharashtra,india,CON,37077537,1101976484
2021,1,STA,dadra & nagar haveli & daman & diu,india,CON,321396,7302462
2021,1,STA,meghalaya,india,CON,190869,2939026
2021,1,STA,andaman & nicobar islands,india,CON,57758,1004336
2021,1,STA,haryana,india,CON,9827905,266686683
2021,1,STA,rajasthan,india,CON,17661088,632535059
2021,1,STA,ladakh,india,CON,69919,1184204
2021,1,STA,punjab,india,CON,5568777,81052268
2021,1,STA,assam,india,CON,3358448,56752364
2021,1,STA,jharkhand,india,CON,5313049,141731331
2021,1,STA,odisha,india,CON,9233009,301315474
2021,1,STA,bihar,india,CON,13946288,355792608
2021,1,STA,kerala,india,CON,6936943,108918733
2021,1,STA,karnataka,india,CON,24095832,1084917385
2021,1,STA,chandigarh,india,CON,419998,7919533
2021,1,STA,telangana,india,CON,17149069,920040042
2021,1,STA,himachal pradesh,india,CON,1622951,24228094
2021,1,STA,west bengal,india,CON,16808799,316832674
2021,1,STA,gujarat,india,CON,14670126,264732874
2021,1,STA,sikkim,india,CON,160213,2795331
2021,1,STA,nagaland,india,CON,207808,2980581
2021,1,STA,mizoram,india,CON,85750,1193214
2021,1,STA,chhattisgarh,india,CON,4514551,124648704
2021,1,STA,jammu & kashmir,india,CON,1174818,18834009
2021,1,STA,goa,india,CON,570035,15467672
2021,1,STA,arunachal pradesh,india,CON,251240,4796708
2021,1,STA,delhi,india,CON,10467210,281201600
2021,1,STA,uttarakhand,india,CON,2802122,59282260
2021,2,STA,puducherry,india,CON,369961,5178916
2021,2,STA,tamil nadu,india,CON,17804542,343968474
2021,2,STA,uttar pradesh,india,CON,31651894,673598864
2021,2,STA,madhya pradesh,india,CON,15940935,727741649
2021,2,STA,andhra pradesh,india,CON,19620905,1044705436
2021,2,STA,tripura,india,CON,472153,9500881
