year,quarter,geo_type,geo_name,geo_pname,hover_over,stat_type,count,amount
2019,1,STA,dadra & nagar haveli & daman & diu,india,CON,TOTAL,661814,843369776.0499003
2019,1,STA,meghalaya,india,CON,TOTAL,208741,399037162.15343595
2019,1,STA,andaman & nicobar islands,india,CON,TOTAL,30486,102299740.6734898
2019,1,STA,haryana,india,CON,TOTAL,22135775,34051655721.63107
2019,1,STA,rajasthan,india,CON,TOTAL,43956040,61141158575.55251
2019,1,STA,ladakh,india,CON,TOTAL,46145,152859920.94912723
2019,1,STA,punjab,india,CON,TOTAL,7172137,13574490001.853222
2019,1,STA,assam,india,CON,TOTAL,4533005,8002099536.451059
2019,1,STA,jharkhand,india,CON,TOTAL,9387708,13627236449.27803
2019,1,STA,odisha,india,CON,TOTAL,34031942,35427127930.698456
2019,1,STA,bihar,india,CON,TOTAL,26356234,41502827514.52612
2019,1,STA,kerala,india,CON,TOTAL,6469039,10235031134.84978
2019,1,STA,karnataka,india,CON,TOTAL,86587609,117976382145.74959
2019,1,STA,chandigarh,india,CON,TOTAL,1274476,2396032050.444029
2019,1,STA,telangana,india,CON,TOTAL,65290702,95523262035.66321
2019,1,STA,himachal pradesh,india,CON,TOTAL,2168718,3381481442.991081
2019,1,STA,west bengal,india,CON,TOTAL,47626388,50164672623.8785
2019,1,STA,gujarat,india,CON,TOTAL,24991451,35856080308.47724
2019,1,STA,sikkim,india,CON,TOTAL,240287,457993634.3840939
2019,1,STA,nagaland,india,CON,TOTAL,168579,441941712.412331
2019,1,STA,mizoram,india,CON,TOTAL,70306,218160895.3974025
2019,1,STA,chhattisgarh,india,CON,TOTAL,7887669,12544556385.32879
2019,1,STA,jammu & kashmir,india,CON,TOTAL,3584987,5951835476.521048
2019,1,STA,goa,india,CON,TOTAL,738812,1475323397.276577
2019,1,STA,arunachal pradesh,india,CON,TOTAL,226506,609950106.3139492
2019,1,STA,delhi,india,CON,TOTAL,47007327,58469131789.49733
2019,1,STA,uttarakhand,india,CON,TOTAL,5546001,7183529175.274033
2019,2,STA,puducherry,india,CON,TOTAL,580077,1211446910.127807
2019,2,STA,tamil nadu,india,CON,TOTAL,32171737,64207676025.75552
2019,2,STA,uttar pradesh,india,CON,TOTAL,58883500,98917519370.6783
2019,2,STA,madhya pradesh,india,CON,TOTAL,40846013,68334566380.56182
2019,2,STA,andhra pradesh,india,CON,TOTAL,56409015,113634518758.2293
2019,2,STA,tripura,india,CON,TOTAL,532558,841821482.8473747
2019,2,STA,lakshadweep,india,CON,TOTAL,2926,9242524.13698889
2019,2,STA,manipur,india,CON,TOTAL,257425,722789942.1495004
2019,2,STA,maharashtra,india,CON,TOTAL,101149853,153294470088.05942
2019,2,STA,dadra & nagar haveli & daman & diu,india,CON,TOTAL,489656,824441276.56507
2019,2,STA,meghalaya,india,CON,TOTAL,232286,492931289.1072781
2019,2,STA,andaman & nicobar islands,india,CON,TOTAL,33689,120254709.6756632
2019,2,STA,haryana,india,CON,TOTAL,22741816,42501539813.21669
2019,2,STA,rajasthan,india,CON,TOTAL,50009286,89107313172.66756
2019,2,STA,ladakh,india,CON,TOTAL,68772,259255506.9974248
2019,2,STA,punjab,india,CON,TOTAL,8509830,18614793394.77221
2019,2,STA,assam,india,CON,TOTAL,5454929,10954969189.12617
2019,2,STA,jharkhand,india,CON,TOTAL,10128211,18622701305.54623
2019,2,STA,odisha,india,CON,TOTAL,29512024,44754854871.67609
2019,2,STA,bihar,india,CON,TOTAL,29960479,63132438283.54397
2019,2,STA,kerala,india,CON,TOTAL,7283826,13031371561.18556
2019,2,STA,karnataka,india,CON,TOTAL,115401604,163702024226.0841
2019,2,STA,chandigarh,india,CON,TOTAL,1252470,2693116098.944455
2019,2,STA,telangana,india,CON,TOTAL,89610379,155676443182.4345
2019,2,STA,himachal pradesh,india,CON,TOTAL,2502306,4875883973.6105795
2019,2,STA,west bengal,india,CON,TOTAL,47023535,57105691119.11844
2019,2,STA,gujarat,india,CON,TOTAL,28981842,49320615219.26732
2019,2,STA,sikkim,india,CON,TOTAL,388244,738894243.4359412
2019,2,STA,nagaland,india,CON,TOTAL,188753,520066682.1585048
2019,2,STA,mizoram,india,CON,TOTAL,75671,248016708.1350144
2019,2,STA,chhattisgarh,india,CON,TOTAL,9389945,17002355688.82225
2019,2,STA,jammu & kashmir,india,CON,TOTAL,2296355,6100142201.563448
2019,2,STA,goa,india,CON,TOTAL,768441,1591867103.3876143
2019,2,STA,arunachal pradesh,india,CON,TOTAL,258656,752655874.3550283
2019,2,STA,delhi,india,CON,TOTAL,57171512,81706816063.62862
2019,2,STA,uttarakhand,india,CON,TOTAL,4813275,8588532850.9184885
2019,3,STA,puducherry,india,CON,TOTAL,716826,1460708357.45541
2019,3,STA,tamil nadu,india,CON,TOTAL,41410183,78959604643.63503
2019,3,STA,uttar pradesh,india,CON,TOTAL,68623959,111268137475.0284
2019,3,STA,madhya pradesh,india,CON,TOTAL,53610411,77676321491.22867
2019,3,STA,andhra pradesh,india,CON,TOTAL,76288614,139447944254.7894
2019,3,STA,tripura,india,CON,TOTAL,711717,1017377422.8172241
2019,3,STA,lakshadweep,india,CON,TOTAL,3104,9651761.463768471
2019,3,STA,manipur,india,CON,TOTAL,345008,863552002.562933
2019,3,STA,maharashtra,india,CON,TOTAL,148735581,199617506744.9427
2019,3,STA,dadra & nagar haveli & daman & diu,india,CON,TOTAL,638751,961471473.8483732
2019,3,STA,meghalaya,india,CON,TOTAL,306550,612218602.153532
2019,3,STA,andaman & nicobar islands,india,CON,TOTAL,33770,114071776.08729391
2019,3,STA,haryana,india,CON,TOTAL,30343531,52489119199.44011
2019,3,STA,rajasthan,india,CON,TOTAL,67303617,112468290031.9234
2019,3,STA,ladakh,india,CON,TOTAL,92396,331129527.1938222
2019,3,STA,punjab,india,CON,TOTAL,10706812,22905815605.843307
2019,3,STA,assam,india,CON,TOTAL,5942571,12950443620.42657
2019,3,STA,jharkhand,india,CON,TOTAL,14220647,21465973993.35938
2019,3,STA,odisha,india,CON,TOTAL,41422272,57304577359.21709
2019,3,STA,bihar,india,CON,TOTAL,32139900,67692783254.27383
2019,3,STA,kerala,india,CON,TOTAL,9286096,16429809722.06444
2019,3,STA,karnataka,india,CON,TOTAL,170733735,214536720438.1829
2019,3,STA,chandigarh,india,CON,TOTAL,1506543,3269682087.66084
2019,3,STA,telangana,india,CON,TOTAL,121495376,201930021130.4236
2019,3,STA,himachal pradesh,india,CON,TOTAL,2735180,5572018781.123303
2019,3,STA,west bengal,india,CON,TOTAL,66444829,70540532616.82985
2019,3,STA,gujarat,india,CON,TOTAL,38228649,59462694964.26753
2019,3,STA,sikkim,india,CON,TOTAL,552436,884716448.4404289
2019,3,STA,nagaland,india,CON,TOTAL,261878,650956471.7134112
2019,3,STA,mizoram,india,CON,TOTAL,98094,278793899.9513421
2019,3,STA,chhattisgarh,india,CON,TOTAL,12243111,19803259167.45372
2019,3,STA,jammu & kashmir,india,CON,TOTAL,1116526,3744230491.782455
2019,3,STA,goa,india,CON,TOTAL,1092416,2000367191.496843
2019,3,STA,arunachal pradesh,india,CON,TOTAL,370234,912645034.7958709
2019,3,STA,delhi,india,CON,TOTAL,69537876,103196812046.45709
2019,3,STA,uttarakhand,india,CON,TOTAL,5710476,9729032070.017405
2019,4,STA,puducherry,india,CON,TOTAL,1012655,1932028317.878899
2019,4,STA,tamil nadu,india,CON,TOTAL,56596411,103190865512.5371
2019,4,STA,uttar pradesh,india,CON,TOTAL,86905005,145538926507.3059
2019,4,STA,madhya pradesh,india,CON,TOTAL,68131989,104687926790.8658
2019,4,STA,andhra pradesh,india,CON,TOTAL,107218103,200948315488.8051
2019,4,STA,tripura,india,CON,TOTAL,801824,1215400160.258188
2019,4,STA,lakshadweep,india,CON,TOTAL,3765,11269913.40492385
2019,4,STA,manipur,india,CON,TOTAL,449344,1200897682.088641
2019,4,STA,maharashtra,india,CON,TOTAL,201260620,272994428799.5649
2019,4,STA,dadra & nagar haveli & daman & diu,india,CON,TOTAL,768971,1226641262.01104
2019,4,STA,meghalaya,india,CON,TOTAL,365981,742436471.7902198
2019,4,STA,andaman & nicobar islands,india,CON,TOTAL,35159,136838530.5173779
2019,4,STA,haryana,india,CON,TOTAL,37825985,69359719869.10008
2019,4,STA,rajasthan,india,CON,TOTAL,85074242,159452410049.6831
2019,4,STA,ladakh,india,CON,TOTAL,84706,324689360.0281113
2019,4,STA,punjab,india,CON,TOTAL,13698625,29989802246.19331
2019,4,STA,assam,india,CON,TOTAL,6760510,15281983895.512562
2019,4,STA,jharkhand,india,CON,TOTAL,18248618,28147748376.6777
2019,4,STA,odisha,india,CON,TOTAL,64995633,79769373632.04843
2019,4,STA,bihar,india,CON,TOTAL,43530314,93313426577.80905
2019,4,STA,kerala,india,CON,TOTAL,12498637,21151326637.805134
2019,4,STA,karnataka,india,CON,TOTAL,237796252,295047143447.2384
2019,4,STA,chandigarh,india,CON,TOTAL,1850915,4152513817.9393544
2019,4,STA,telangana,india,CON,TOTAL,163572258,280746765547.7425
2019,4,STA,himachal pradesh,india,CON,TOTAL,3516646,7271163537.248161
2019,4,STA,west bengal,india,CON,TOTAL,96805838,88203610254.64601
2019,4,STA,gujarat,india,CON,TOTAL,42547632,76690662054.91542
2019,4,STA,sikkim,india,CON,TOTAL,767070,1176509601.656218
2019,4,STA,nagaland,india,CON,TOTAL,317170,834537138.3487777
2019,4,STA,mizoram,india,CON,TOTAL,125239,368689350.6344881
2019,4,STA,chhattisgarh,india,CON,TOTAL,16305758,27143788737.21397
2019,4,STA,jammu & kashmir,india,CON,TOTAL,489928,1929695997.8225973
2019,4,STA,goa,india,CON,TOTAL,1515272,2923460348.4994645
2019,4,STA,arunachal pradesh,india,CON,TOTAL,459475,1190573179.527283
2019,4,STA,delhi,india,CON,TOTAL,80744997,129024467424.8906
2019,4,STA,uttarakhand,india,CON,TOTAL,7362116,12573706305.15061
2020,1,STA,puducherry,india,CON,TOTAL,1207921,2205277477.079584
2020,1,STA,tamil nadu,india,CON,TOTAL,66953473,116569686179.4346
2020,1,STA,uttar pradesh,india,CON,TOTAL,97239132,172416434960.6903
2020,1,STA,madhya pradesh,india,CON,TOTAL,79366746,126737281436.18521
2020,1,STA,andhra pradesh,india,CON,TOTAL,127677357,252737214289.0485
2020,1,STA,tripura,india,CON,TOTAL,924502,1588778806.388501
2020,1,STA,lakshadweep,india,CON,TOTAL,5151,13502368.574504212
2020,1,STA,manipur,india,CON,TOTAL,818801,2598590380.876947
2020,1,STA,maharashtra,india,CON,TOTAL,238944081,319995196718.0683
2020,1,STA,dadra & nagar haveli & daman & diu,india,CON,TOTAL,878579,1342763369.2925189
2020,1,STA,meghalaya,india,CON,TOTAL,502283,1120134840.907805
2020,1,STA,andaman & nicobar islands,india,CON,TOTAL,41298,161476312.2972747
2020,1,STA,haryana,india,CON,TOTAL,44036087,81976214558.24356
2020,1,STA,rajasthan,india,CON,TOTAL,102258812,190308238561.0021
2020,1,STA,ladakh,india,CON,TOTAL,116419,377639677.44574314
2020,1,STA,punjab,india,CON,TOTAL,15217784,31374185265.899647
2020,1,STA,assam,india,CON,TOTAL,8808860,20668428347.72898
2020,1,STA,jharkhand,india,CON,TOTAL,18282713,33611232153.26911
2020,1,STA,odisha,india,CON,TOTAL,53682307,91956798199.33679
2020,1,STA,bihar,india,CON,TOTAL,45081815,109256853527.24521
2020,1,STA,kerala,india,CON,TOTAL,15733522,26451084830.934254
2020,1,STA,karnataka,india,CON,TOTAL,271033890,353402054999.4004
2020,1,STA,chandigarh,india,CON,TOTAL,2262511,5126453070.016205
2020,1,STA,telangana,india,CON,TOTAL,199409525,371343780368.2118
2020,1,STA,himachal pradesh,india,CON,TOTAL,4144480,7419466751.122733
2020,1,STA,west bengal,india,CON,TOTAL,66250381,96653305190.9406
2020,1,STA,gujarat,india,CON,TOTAL,47326417,86995076621.9023
2020,1,STA,sikkim,india,CON,TOTAL,528118,1053476271.9444
2020,1,STA,nagaland,india,CON,TOTAL,378051,894780028.7343725
2020,1,STA,mizoram,india,CON,TOTAL,153609,392077579.34963745
2020,1,STA,chhattisgarh,india,CON,TOTAL,19523991,32860597671.35668
2020,1,STA,jammu & kashmir,india,CON,TOTAL,921630,2937643176.534005
2020,1,STA,goa,india,CON,TOTAL,1881237,3410371231.923764
2020,1,STA,arunachal pradesh,india,CON,TOTAL,567175,1381758681.330147
2020,1,STA,delhi,india,CON,TOTAL,81747604,133616543642.58939
2020,1,STA,uttarakhand,india,CON,TOTAL,9131784,16158080258.98752
2020,2,STA,puducherry,india,CON,TOTAL,1033383,1960030980.4875922
2020,2,STA,tamil nadu,india,CON,TOTAL,51870110,95826508896.84135
2020,2,STA,uttar pradesh,india,CON,TOTAL,100851965,178744016130.31213
2020,2,STA,madhya pradesh,india,CON,TOTAL,76340573,147922015289.0844
2020,2,STA,andhra pradesh,india,CON,TOTAL,144917855,302583689746.5449
2020,2,STA,tripura,india,CON,TOTAL,1052520,1769175883.585958
2020,2,STA,lakshadweep,india,CON,TOTAL,7220,16942922.085944388
2020,2,STA,manipur,india,CON,TOTAL,1083068,3198936212.805524
2020,2,STA,maharashtra,india,CON,TOTAL,184790761,296359517159.4161
2020,2,STA,dadra & nagar haveli & daman & diu,india,CON,TOTAL,973152,1302376453.8880572
2020,2,STA,meghalaya,india,CON,TOTAL,635395,1153735154.338391
2020,2,STA,andaman & nicobar islands,india,CON,TOTAL,62962,169645001.414147
2020,2,STA,haryana,india,CON,TOTAL,41781050,80711264923.94525
2020,2,STA,rajasthan,india,CON,TOTAL,101954656,193763273003.2828
2020,2,STA,ladakh,india,CON,TOTAL,155010,523792998.65202284
2020,2,STA,punjab,india,CON,TOTAL,14081294,30284654252.213337
2020,2,STA,assam,india,CON,TOTAL,10505199,19766300125.919262
2020,2,STA,jharkhand,india,CON,TOTAL,20141511,37486201975.92341
2020,2,STA,odisha,india,CON,TOTAL,50028576,91733036612.10583
2020,2,STA,bihar,india,CON,TOTAL,53386742,128806523628.85281
2020,2,STA,kerala,india,CON,TOTAL,16287967,25894078478.599953
2020,2,STA,karnataka,india,CON,TOTAL,213221712,321104877020.1418
2020,2,STA,chandigarh,india,CON,TOTAL,1528010,3847015729.690074
